matricule;impaye;encaissement
11B184;;
11B185;;
11B186;;
11B187;;
11B188;;
11B189;;
11B190;;
11B191;;
11B192;;
11B193;;
11B194;;
11B195;;
11B196;;
11B197;;
11B198;;
11B199;;
11B200;;
11B201;;
11B202;;
11B203;;
11B204;;
11B205;;
11B206;;
11B207;;
11B208;;
11B209;;
11B210;;
11B211;;
11B212;;
11B213;;
11B214;;
11B215;;
11B216;;
11B217;;
11B218;;
11B219;;
11B220;;
11B221;;
11B222;;
11B223;;
11B224;;
11B225;;
11B226;;
11B227;;
11B228;;
11B229;;
11B230;;
11B231;;
11B232;;
11B233;;
11B234;;
11B235;;
11B236;;
11B237;;
11B238;2435000;
11B239;;
11B240;;
11B241;;
11B242;;
11B243;;
11B244;;
11B245;;
11B246;;
11B247;919500;
11B248;;
11C001;;
11C002;;
11C003;;
11C004;;
11C005;;
11C006;;
11C007;;
11C008;;
11C009;;
11C010;;
11C011;;
11C012;;
11C013;;
11C014;;
11C015;;
11C016;;
11C017;;
11C018;;
11C019;;
11C020;;
11C021;;
11C022;675000;
11C023;;
11C024;;
11C025;;
11C026;;
11C027;;
11C028;;
11C029;;
11C030;;
11C031;;
11C032;;
11C033;;
11C034;;
11C035;;
11C036;;
11C037;;
11C038;;
11C039;;
11C040;;
11C041;;
11C042;;
11C043;;
11C044;;
11C045;80000;
11C046;;
11C047;;
11C048;;
11C050;;
11C051;;
11C052;;
11C053;;
11C054;;
12B001;;
12B002;;
12B003;;
12B004;;
12B005;;
12B006;;
12B007;;
12B008;;
12B009;;
12B010;;
12B011;;
12B012;;
12B013;;
12B014;;
12B015;;
12B016;;
12B017;;
12B018;;
12B019;;
12B020;;
12B021;;
12B022;;
12B023;;
12B024;;
12B025;;
12B026;;
12B027;;
12B028;;
12B029;;
12B030;;
12B031;;
12B032;;
12B033;;
12B034;;
12B035;;
12B036;;
12B037;;
12B038;;
12B039;;
12B040;;
12B041;;
12B042;;
12B043;;
12B044;;
12B045;;
12B046;;
12B047;;
12B048;;
12B049;;
12B050;;
12B051;;
12B052;;
12B053;;
12B054;;
12B055;;
12B056;;
12B057;2067500;
12B058;;
12B059;;
12B060;;
12B061;;
12B062;;
12B063;;
12B064;;
12B065;;
12B066;;
12B067;;
12B068;;
12B069;;
12B070;;
12B071;;
12B072;;
12B073;;
12B074;;
12B075;;
12B076;;
12B077;;
12B078;;
12B079;;
12B080;;
12B081;;
12B082;;
12B083;;
12B084;;
12B085;;
12B086;;
12B087;;
12B088;;
12B089;;
12B090;;
12B091;;
12B092;;
12B093;;
12B094;88000;
12B095;;
12B096;;
12B097;;
12B098;;
12B099;;
12B100;;
12B101;;
12B102;;
12B103;;
12B104;;
12B105;;
12B106;;
12B107;;
12B108;;
12B109;;
12B110;;
12B111;;
12B112;;
12B113;;
12B114;;
12B115;;
12B116;;
12B117;;
12B118;;
12B119;;
12B120;;
12B121;;
12B122;;
12B123;;
12B124;;
12B125;;
12B126;;
12B127;;
12B128;;
12B129;;
12B130;;
12B131;;
12B132;;
12B133;;
12B134;;
12B135;;
12B136;;
12B137;;
12B138;;
12B139;;
12B140;;
12B141;;
12B142;;
12B143;;
12B144;;
12B145;;
12B146;;
12B147;;
12B148;;
12B149;;
12B150;;
12B151;;
12B152;;
12B153;;
12B154;;
12B155;;
12B156;;
12B157;;
12B158;;
12B159;;
12B160;;
12B161;;
12B162;;
12B163;;
12B164;;
12B165;;
12B166;;
12B167;;
12B168;;
12B169;;
12B170;;
12B171;;
12B172;;
12B173;;
12B174;;
12B175;;
12B176;;
12B177;;
12B178;;
12B179;1287500;
12B180;;
12B181;;
12B182;;
12B183;;
12B184;;
12B185;;
12B186;;
12B187;;
12B188;;
